STD,Skew,kurtosis,PP,Sigma,Class
1.45,8.6,81.03,0.294743328,32.71,lead
1.44,8.58,81,0.479986817,44,lead
1.46,8.53,80.87,0.432043827,40.06,lead
1.44,8.58,80.75,0.444573336,38.77,lead
1.22,8.77,80.62,0.378990285,36.59,lead
1.44,8.6,80.17,0.412694115,37.42,lead
1.45,8.73,80.16,0.380181926,33.32,lead
1.45,8.4,79.85,0.420352138,37.07,lead
1.47,8.35,79.69,0.405872407,40.15,lead
1.46,8.78,79.42,0.414752231,44.85,lead
1.47,8.88,79.4,0.445352796,40.23,lead
1.48,8.62,78.51,0.417088305,36.55,lead
1.49,8.51,78.26,0.419048533,42.28,lead
1.5,8.23,77.97,0.378653062,35.32,lead
1.48,8.65,77.6,0.455664254,44.2,lead
1.6,8.49,77.59,0.389056434,36.84,lead
1.55,8.25,77.34,0.2873019,25.82,lead
1.55,7.99,77.18,0.289097791,26.6,lead
1.5,8.86,77.13,0.46210962,42.45,lead
1.49,8.4,77.13,0.436958261,39.87,lead
1.5,8.78,76.59,0.456861816,40.74,lead
1.5,8.29,76.38,0.371370447,33.97,lead
1.6,8.42,76.35,0.345386415,33.94,lead
1.55,7.94,76.34,0.34597902,31.27,lead
1.53,8.53,76.23,0.347545939,33.52,lead
1.53,8.57,76.23,0.418863728,36.7,lead
1.51,8.57,76.23,0.406857632,43.36,lead
1.52,8.53,76.19,0.346624988,27.56,lead
1.49,8.55,76.15,0.415262077,36.4,lead
1.53,8.37,76.09,0.410882895,44.55,lead
1.71,7.71,75.94,0.329004177,31.93,lead
1.53,8.26,75.85,0.311025789,33.2,lead
1.54,8.54,75.74,0.434939871,35.5,lead
1.59,8.19,75.71,0.466716993,37.76,lead
1.5,8.68,75.7,0.456772656,41.54,lead
1.57,7.94,75.58,0.371547306,37.69,lead
1.51,8.46,75.56,0.395429944,41.34,lead
1.54,8.45,75.55,0.383941649,40.86,lead
1.54,8.55,75.15,0.428148642,38.3,lead
1.56,8.22,75.14,0.414395559,34.59,lead
1.59,7.8,74.92,0.328636261,33.97,lead
0.73,8.3,74.54,0.468502023,42.65,lead
1.58,8.09,74.46,0.404791906,32.05,lead
1.53,8.42,74.4,0.306023815,29.35,lead
1.53,8.46,74.39,0.372972512,39.96,lead
1.57,8.11,74.35,0.315334389,33.86,lead
1.56,8.31,74.28,0.402893134,40.53,lead
